business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category
4478,AFC Sushi @ Safeway #1490,2300 16th St,San Francisco,CA,94103,37.765708,-122.409002,"(37.765708, -122.409002)",14155571120,4478_20171206,12/6/17 0:00,100,Routine - Unscheduled,,,
1596,BURGERMEISTER,86 Carl St,San Francisco,CA,94117,37.765848,-122.449664,"(37.765848, -122.449664)",14155564433,1596_20171201,12/1/17 0:00,96,Routine - Unscheduled,1596_20171201_103144,Unapproved or unmaintained equipment or utensils,Low Risk
5316,Nick's Lighthouse,Pier 45  Shed B Space 1A,San Francisco,CA,94133,,,,,5316_20171130,11/30/17 0:00,88,Routine - Unscheduled,5316_20171130_103145,Improper storage of equipment utensils or linens,Low Risk
1757,Dar Bar Pakistani/Indian Cusine,1412 Polk St,San Francisco,CA,94109,37.789784,-122.420455,"(37.789784, -122.420455)",,1757_20170928,9/28/17 0:00,86,Routine - Unscheduled,1757_20170928_103131,Moderate risk vermin infestation,Moderate Risk
91934,"Keep It, Inc.",1170 Powell St,San Francisco,CA,94108,,,,,91934_20170928,9/28/17 0:00,94,Routine - Unscheduled,91934_20170928_103154,Unclean or degraded floors walls or ceilings,Low Risk
82911,Super Duper,346 Kearny St,San Francisco,CA,94108,,,,,82911_20170927,9/27/17 0:00,88,Routine - Unscheduled,82911_20170927_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
90604,Taqueria Los Amigos,5300 Mission St.,San Francisco,CA,94112,,,,,90604_20170502,5/2/17 0:00,,New Ownership,90604_20170502_103133,Foods not protected from contamination,Moderate Risk
73840,L'acajou Bakery and Cafe,498 09th St Ste. C,San Francisco,CA,94103,,,,,73840_20170105,1/5/17 0:00,76,Routine - Unscheduled,73840_20170105_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
2627,BURGERMEISTER,Church St,San Francisco,CA,94114,37.768776,-122.429095,"(37.768776, -122.429095)",14155432874,2627_20170105,1/5/17 0:00,86,Routine - Unscheduled,2627_20170105_103138,Improper storage use or identification of toxic substances,Low Risk
4907,JIM GEORGIE'S DONUT,2799 16th St,San Francisco,CA,94103,37.765262,-122.41523,"(37.765262, -122.41523)",14155867112,4907_20170105,1/5/17 0:00,80,Routine - Unscheduled,4907_20170105_103131,Moderate risk vermin infestation,Moderate Risk
80081,Good MongKok Bakery,1039 Stockton St,San Francisco,CA,94108,,,,,80081_20170104,1/4/17 0:00,78,Routine - Unscheduled,80081_20170104_103120,Moderate risk food holding temperature,Moderate Risk
15535,Boudin Bakery & Cafe,160 Jefferson St 1st Floor,San Francisco,CA,94133,37.808352,-122.415157,"(37.808352, -122.415157)",,15535_20161227,12/27/16 0:00,,Reinspection/Followup,,,
4864,DRAGON CITY BAKERY & CAFE,2367 MISSION St,San Francisco,CA,94110,37.759174,-122.419066,"(37.759174, -122.419066)",14155829718,4864_20161206,12/6/16 0:00,84,Routine - Unscheduled,4864_20161206_103157,Food safety certificate or food handler card not available,Low Risk
16441,Hawaiian Drive Inn,2600 San Bruno Ave,San Francisco,CA,94134,37.728718,-122.404101,"(37.728718, -122.404101)",,16441_20161206,12/6/16 0:00,82,Routine - Unscheduled,16441_20161206_103154,Unclean or degraded floors walls or ceilings,Low Risk
3267,The Olive Garden Italian,3251 20th Ave,San Francisco,CA,94132,37.728497,-122.475639,"(37.728497, -122.475639)",14155666770,3267_20161206,12/6/16 0:00,,Complaint,3267_20161206_103138,Improper storage use or identification of toxic substances,Low Risk
65649,Krua Thai Kitchen,3214 16th St,San Francisco,CA,94103,37.764788,-122.424462,"(37.764788, -122.424462)",,65649_20161206,12/6/16 0:00,90,Routine - Unscheduled,65649_20161206_103120,Moderate risk food holding temperature,Moderate Risk
87099,Corridor,100 Van Ness Ave #A,San Francisco,CA,94102,,,,,87099_20161110,11/10/16 0:00,94,Routine - Unscheduled,87099_20161110_103157,Food safety certificate or food handler card not available,Low Risk
2085,KENTUCKY FRIED CHICKEN #249,691 EDDY St,San Francisco,CA,94109,37.783053,-122.418988,"(37.783053, -122.418988)",14155672641,2085_20161109,11/9/16 0:00,,Reinspection/Followup,,,
2766,TAQUERIA GUADALAJARA,4798 MISSION,San Francisco,CA,94112,37.721191,-122.43755,"(37.721191, -122.43755)",14155552785,2766_20161021,10/21/16 0:00,,Reinspection/Followup,,,
87486,Flour Craft Bakery,244 Clement St,San Francisco,CA,94118,,,,14155389180,87486_20161002,10/2/16 0:00,100,Routine - Unscheduled,,,
69353,Aria,932 Larkin St,San Francisco,CA,94109,37.786565,-122.418116,"(37.786565, -122.418116)",,69353_20160907,9/7/16 0:00,86,Routine - Unscheduled,69353_20160907_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
39667,Peet's Coffee & Tea,595 Market St  Suite #143,San Francisco,CA,94105,37.789437,-122.401111,"(37.789437, -122.401111)",,39667_20160906,9/6/16 0:00,96,Routine - Unscheduled,39667_20160906_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
3241,SHENG KEE BAKERY,1941 IRVING St,San Francisco,CA,94122,37.76344,-122.478648,"(37.76344, -122.478648)",,3241_20160906,9/6/16 0:00,86,Routine - Unscheduled,3241_20160906_103154,Unclean or degraded floors walls or ceilings,Low Risk
58850,Woerner's Liquor,901 Geary St,San Francisco,CA,94109,37.786053,-122.418327,"(37.786053, -122.418327)",,58850_20160906,9/6/16 0:00,79,Routine - Unscheduled,58850_20160906_103156,Permit license or inspection report not posted,Low Risk
32586,Terroir,81 Langton St,San Francisco,CA,94103,37.776494,-122.408562,"(37.776494, -122.408562)",14155718949,32586_20160906,9/6/16 0:00,96,Routine - Unscheduled,32586_20160906_103144,Unapproved or unmaintained equipment or utensils,Low Risk
5268,SAN FRANCISCO MUSEUM OF MODERN ART,151 03rd St,San Francisco,CA,94103,37.785643,-122.401192,"(37.785643, -122.401192)",,5268_20160815,8/15/16 0:00,87,Routine - Unscheduled,5268_20160815_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
74760,Ghirardelli Chocolate,24 Wiilie Mays Pl #120,San Francisco,CA,94107,,,,,74760_20160814,8/14/16 0:00,100,Routine - Unscheduled,,,
5523,AT&T Park - Coffee and Ice Cream (5A+5B),24 WILLIE MAYS PLAZA,San Francisco,CA,94107,,,,,5523_20160814,8/14/16 0:00,,Non-inspection site visit,,,
1632,SWEET CHINITO,3100 MISSION St,San Francisco,CA,94110,37.748164,-122.418241,"(37.748164, -122.418241)",,1632_20160810,8/10/16 0:00,92,Routine - Unscheduled,1632_20160810_103120,Moderate risk food holding temperature,Moderate Risk
4469,Boudin Restaurant,160 Jefferson  2nd floor,San Francisco,CA,94133,37.808352,-122.415157,"(37.808352, -122.415157)",,4469_20160804,8/4/16 0:00,,Reinspection/Followup,,,
88090,Hwaro,4516 Mission St,San Francisco,CA,94112,,,,14155207904,88090_20160728,7/28/16 0:00,,New Construction,,,
87551,NoodleMe,333 Market St,San Francisco,CA,94105,,,,,87551_20160713,7/13/16 0:00,,New Construction,,,
4787,TONY BALONEY'S,1098 HOWARD St,San Francisco,CA,94103,37.778033,-122.40943,"(37.778033, -122.40943)",14155861514,4787_20160628,6/28/16 0:00,83,Routine - Unscheduled,4787_20160628_103131,Moderate risk vermin infestation,Moderate Risk
81987,Celtic Coffee Company,142 McAllister St,San Francisco,CA,94102,,,,,81987_20160627,6/27/16 0:00,83,Routine - Unscheduled,81987_20160627_103156,Permit license or inspection report not posted,Low Risk
81987,Celtic Coffee Company,142 McAllister St,San Francisco,CA,94102,,,,,81987_20160627,6/27/16 0:00,83,Routine - Unscheduled,81987_20160627_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
59025,Sushi Umi,132 Bush St,San Francisco,CA,94104,37.791308,-122.400134,"(37.791308, -122.400134)",,59025_20160608,6/8/16 0:00,,Reinspection/Followup,,,
66999,Super Duper Burgers,2201 Chestnut St,San Francisco,CA,94123,37.800344,-122.439697,"(37.800344, -122.439697)",,66999_20160607,6/7/16 0:00,87,Routine - Unscheduled,66999_20160607_103102,Unclean hands or improper use of gloves,High Risk
59838,OTD,2232 Bush St,San Francisco,CA,94115,37.786988,-122.434074,"(37.786988, -122.434074)",14155929578,59838_20160531,5/31/16 0:00,92,Routine - Unscheduled,59838_20160531_103133,Foods not protected from contamination,Moderate Risk
87821,Shin Dig,403 Irving St,San Francisco,CA,94122,,,,14155967495,87821_20160525,5/25/16 0:00,,New Construction,,,
37633,100% Dessert Cafe,2512 Clement St,San Francisco,CA,94121,37.781988,-122.486252,"(37.781988, -122.486252)",,37633_20160519,5/19/16 0:00,72,Routine - Unscheduled,37633_20160519_103114,High risk vermin infestation,High Risk
62710,Sam's Chowder Mobile,Golden Gate Park,San Francisco,CA,,37.777122,-122.419639,"(37.777122, -122.419639)",,62710_20160511,5/11/16 0:00,86,Routine - Unscheduled,62710_20160511_103139,Improper food storage,Low Risk
63943,OMI Senior Center,65 Beverly St,San Francisco,CA,94132,37.717298,-122.471709,"(37.717298, -122.471709)",,63943_20160509,5/9/16 0:00,100,Routine - Unscheduled,,,
5960,ST. ANNE,1320 14th Ave,San Francisco,CA,94122,37.763403,-122.471582,"(37.763403, -122.471582)",,5960_20160506,5/6/16 0:00,92,Routine - Unscheduled,5960_20160506_103120,Moderate risk food holding temperature,Moderate Risk
69562,flourChylde Bakery,85 Bartlett St,San Francisco,CA,94110,,,,,69562_20160505,5/5/16 0:00,100,Routine - Unscheduled,,,
79782,Deli 23,2449 23rd St,San Francisco,CA,94110,,,,,79782_20160503,5/3/16 0:00,92,Routine - Unscheduled,79782_20160503_103120,Moderate risk food holding temperature,Moderate Risk
59577,Pasta Moto of San Francisco Centre LLC,845 Market St FE6,San Francisco,CA,94103,37.784848,-122.406892,"(37.784848, -122.406892)",,59577_20160502,5/2/16 0:00,72,Routine - Unscheduled,59577_20160502_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
59577,Pasta Moto of San Francisco Centre LLC,845 Market St FE6,San Francisco,CA,94103,37.784848,-122.406892,"(37.784848, -122.406892)",,59577_20160502,5/2/16 0:00,72,Routine - Unscheduled,59577_20160502_103156,Permit license or inspection report not posted,Low Risk
40217,Pizzetta 211,211 23rd Ave,San Francisco,CA,94121,37.783758,-122.482885,"(37.783758, -122.482885)",,40217_20160502,5/2/16 0:00,88,Routine - Unscheduled,40217_20160502_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
